Run number;Max width;Min width;Number of orders;Average reel width;Deviation of widths;Number of ordered reels;Weighted average width;Total waste percentage
00811;4500;1500;96;2821.875;672.341254987298;732.846604376925;2755.46363061772;2.4017865281
00815;4400;1400;75;2892;772.458343143429;496.489921592561;3027.37230702106;1.4017694077
00816;4200;500;126;2530.95238095238;770.398783562309;873.622032607656;2617.19275267934;0.0818330606
00822;3600;500;114;2594.73684210526;760.396043206731;1045.5130884611;2532.43730375298;0.6211180124
00824;4700;600;72;2308.33333333333;1201.72997365359;693.033044019317;2296.69330297646;1.2539184953
00830;4800;500;93;2861.29032258065;919.242629898505;749.901674660426;2833.84610788296;2.8676087423
00837;4400;700;120;2947.5;719.238918474758;930.930522397165;2882.77240425114;1.8706924844
00843;4900;700;132;2697.72727272727;787.639812776352;1054.19808431218;2760.54121941958;1.5065512511
00851;5000;500;159;3628.30188679245;1121.7150112731;1227.72481726004;3453.20129310601;4.8705209274
00855;5000;900;159;3139.62264150943;1007.75592709646;1161.76634953689;3110.08472606863;3.7332892177
00861;4900;1000;156;3438.46153846154;1022.54972517069;1108.57986001501;3487.93087162229;7.7780044889
00865;5000;700;126;3471.42857142857;1032.57791127699;925.521597385205;3492.18024626165;7.0024787535
00866;5000;500;162;2931.48148148148;1066.62946363693;1192.32808115293;2939.45716246667;0.0962243402
00870;5000;600;219;3365.75342465753;1137.38221627304;1551.54639768461;3279.23375975126;0.6315982982
00877;4900;1700;108;3416.66666666667;866.99610321538;850.350192307735;3288.73461130731;7.5838574423
00881;5000;1100;165;3536.36363636364;903.927130473585;1282.06336160415;3534.00370330522;7.0751107461
00885;5000;600;111;3221.62162162162;1015.37323235488;780.814126922524;3231.39728557098;6.5409904603
00886;5000;600;138;3121.73913043478;1222.04442381859;1035.61364394065;3044.54758269341;0.1265572474
00893;4900;800;177;3413.5593220339;886.731285611011;1398.76305029261;3520.58794132723;7.7810712858
00896;5000;800;204;3442.64705882353;1133.02196420485;1563.84193386426;3376.19661520808;1.2698412698
00900;4400;500;81;1596.2962962963;932.931461100499;676.901194791105;1431.64593040521;0.6309148265
00903;4100;500;117;1794.87179487179;964.351323326235;964.397794202855;1902.91553902136;0.3115264798
00909;5000;500;132;1915.90909090909;1200.75227981211;1106.61792835498;1865.29482572619;0
00917;4600;500;150;1714;922.42967757283;1127.18676978161;1830.10077944573;0.3164556962
00921;4900;500;135;1848.88888888889;1014.29091963388;1097.07810191199;1792.25423448963;0.6309148265
00923;4100;500;99;2151.51515151515;1199.2653904824;802.459534106446;2263.55784861915;0
00924;4900;500;63;2204.7619047619;1644.77948040779;423.806532567538;2317.91252321053;0
00928;4800;500;45;1960;1405.08815640611;288.129838835822;2474.69235328841;0.0632244468
00930;4100;500;66;2009.09090909091;1158.4774188865;447.862531310118;2015.10078186981;0
00936;5000;600;66;1972.72727272727;1257.90368404011;477.461352833934;1931.19322611452;0.3115264798
00939;3700;500;48;1556.25;980.426795904549;356.519007705384;1607.43789847213;0.9433962264
00942;4700;500;87;1644.8275862069;1157.2580485173;783.364664629059;1617.83674070376;0.6309148265
00944;5000;500;147;2006.12244897959;1327.07446755553;1105.38588730359;2214.04675132509;1.2345679012
00950;4500;500;330;1879.39393939394;974.382945240379;983.566188574445;1783.8201489201;0.3164556962
00956;4900;500;153;1960.78431372549;1007.61804154504;1217.28107500459;2030.93416838201;0.6211180124
00959;5000;500;177;1938.98305084746;1013.49142523717;1241.58775074243;2022.33139950198;0.9287925697
00960;4800;600;129;2295.3488372093;1085.33264378918;840.47567893135;2300.42492997128;0
00965;4900;500;153;2425.49019607843;1219.38991495989;1351.28339642399;2391.3496320626;0.3115264798
00966;4800;600;150;2284;1001.61480358724;1230.02211306352;2345.28712517721;0.6211180124
00969;4300;500;165;2052.72727272727;1059.08172583402;1181.07631760846;2169.8254591131;0
00971;5000;500;165;2460;1050.36578994316;1278.61402108872;2444.12901325623;0.6309148265
00972;4100;500;216;2065.27777777778;987.62007414426;1755.62665219273;2093.5059857491;0.3164556962
00974;4700;500;210;2057.14285714286;957.954074161347;1700.03156279883;1990.38273586843;1.2539184953
00978;5000;500;192;2209.375;1005.38634443217;1629.08427177238;2189.09683910366;1.2345679012
00987;4500;500;147;2208.16326530612;1034.24316873063;1194.16959029679;2280.34791146081;0.9287925697
00992;4700;500;240;2268.75;1060.46414603273;1869.1103638347;2304.92499546918;0.6309148265
00994;3500;600;171;2242.10526315789;824.038984319321;1313.74355750839;2297.47807411067;0.9433962264
01007;5000;500;249;3081.92771084337;1252.97818554949;1976.60681327751;2994.18488631577;0.3211020888
01011;4800;600;144;2662.5;1179.6571150512;1094.90127399785;2780.42060957755;0.7280665661
01027;5000;700;183;2998.3606557377;1376.50917816206;1424.05258629665;2902.47624671016;0.3115264798
